epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,263.195,0.78437,1.24542,1.15808,0.7424,0.96962,0.9125,0.6359,1.15357,2.71586,1.83759,0.000834822,0.000834822,0.000834822
44,269.93,0.78216,1.46655,1.25889,0.7424,0.96962,0.9125,0.6359,1.15357,2.71586,1.83759,0.000820675,0.000820675,0.000820675
45,277.453,0.7598,1.43813,1.28116,0.7424,0.96962,0.9125,0.6359,1.15357,2.71586,1.83759,0.000806528,0.000806528,0.000806528
46,286.035,0.91421,1.34277,1.37856,1,0.6511,0.863,0.60906,1.31209,2.45405,1.94822,0.00079238,0.00079238,0.00079238
47,293.803,0.83448,1.44101,1.29492,1,0.6511,0.863,0.60906,1.31209,2.45405,1.94822,0.000778233,0.000778233,0.000778233
48,299.008,0.79179,1.31046,1.25924,1,0.6511,0.863,0.60906,1.31209,2.45405,1.94822,0.000764086,0.000764086,0.000764086
49,304.385,0.73217,1.27636,1.2223,1,0.6511,0.863,0.60906,1.31209,2.45405,1.94822,0.000749939,0.000749939,0.000749939
50,311.102,0.72045,1.25229,1.17119,0.94647,1,0.995,0.59175,1.50571,2.64809,2.22067,0.000735792,0.000735792,0.000735792
51,318.963,0.74595,1.33819,1.23825,0.94647,1,0.995,0.59175,1.50571,2.64809,2.22067,0.000721645,0.000721645,0.000721645
52,325.978,0.7203,1.30947,1.21399,0.94647,1,0.995,0.59175,1.50571,2.64809,2.22067,0.000707498,0.000707498,0.000707498
53,331.587,0.81364,1.24949,1.26693,0.98203,1,0.995,0.5165,1.46076,3.07678,2.38268,0.000693351,0.000693351,0.000693351
54,337.573,0.77371,1.17555,1.22032,0.98203,1,0.995,0.5165,1.46076,3.07678,2.38268,0.000679204,0.000679204,0.000679204
55,343.62,0.81251,1.2794,1.25215,0.98203,1,0.995,0.5165,1.46076,3.07678,2.38268,0.000665057,0.000665057,0.000665057
56,349.006,0.8014,1.24257,1.21949,0.98558,1,0.995,0.5353,1.5096,2.26672,2.30684,0.000650909,0.000650909,0.000650909
57,354.337,0.7294,1.51598,1.22957,0.98558,1,0.995,0.5353,1.5096,2.26672,2.30684,0.000636762,0.000636762,0.000636762
58,359.894,0.81777,1.22337,1.26213,0.98558,1,0.995,0.5353,1.5096,2.26672,2.30684,0.000622615,0.000622615,0.000622615
59,366.214,0.66619,1.20064,1.12617,0.98513,1,0.995,0.60713,1.21643,1.96982,1.84043,0.000608468,0.000608468,0.000608468
60,371.693,0.73187,1.24779,1.16016,0.98513,1,0.995,0.60713,1.21643,1.96982,1.84043,0.000594321,0.000594321,0.000594321
61,377.389,0.78505,1.22102,1.22598,0.98513,1,0.995,0.60713,1.21643,1.96982,1.84043,0.000580174,0.000580174,0.000580174
62,383.429,0.83083,1.15108,1.1946,1,0.91067,0.995,0.63369,1.15812,1.86942,1.72401,0.000566027,0.000566027,0.000566027
63,388.64,0.67464,1.0794,1.05968,1,0.91067,0.995,0.63369,1.15812,1.86942,1.72401,0.00055188,0.00055188,0.00055188
64,393.999,0.79501,1.15393,1.09267,1,0.91067,0.995,0.63369,1.15812,1.86942,1.72401,0.000537733,0.000537733,0.000537733
65,399.397,0.64791,1.10892,1.08463,1,0.91067,0.995,0.63369,1.15812,1.86942,1.72401,0.000523586,0.000523586,0.000523586
66,407.876,0.82448,1.23958,1.20713,0.74097,1,0.995,0.55402,1.28635,2.06092,1.86936,0.000509438,0.000509438,0.000509438
67,413.978,0.7784,1.18609,1.16605,0.74097,1,0.995,0.55402,1.28635,2.06092,1.86936,0.000495291,0.000495291,0.000495291
68,420.845,0.82945,1.17374,1.23104,0.74097,1,0.995,0.55402,1.28635,2.06092,1.86936,0.000481144,0.000481144,0.000481144
69,427.108,0.75843,1.26938,1.20198,0.97169,1,0.995,0.597,1.2889,1.80736,1.84671,0.000466997,0.000466997,0.000466997
70,433.159,0.81268,1.24407,1.21851,0.97169,1,0.995,0.597,1.2889,1.80736,1.84671,0.00045285,0.00045285,0.00045285
